id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,location,lat,lon
15,1341,1341,40,2016,Rajasthan,Hanumangarh,Hanumangarh,130,0,10-05-2016 00:00,10-06-2016 00:00," Ward No 9 & Ward No  11  Bhatta  colony  Hanumangarh  Junction, Block Hanumangarh",29.6310401,74.3126008
16,561,561,40,2012,Rajasthan,Kota,Kota,55,70,06-10-2012 00:00,,"Kumbhkot,  PHC Julmi,  Block  Chehat",24.6259896,76.0014712
17,560,560,40,2012,Rajasthan,Kota,Kota,0,0,05-10-2012 00:00,,"Kumbhkot,  PHC Julmi,  Block  Chehat",24.6259896,76.0014712
18,554,554,40,2012,Rajasthan,Kota,Kota,2103,2,29-09-2012 00:00,,"Kumbhkot,  PHC Julmi,  Block  Chehat",24.5884258,75.988412
19,555,555,40,2012,Rajasthan,Kota,Kota,0,0,30-09-2012 00:00,," Kumbhkot,  PHC Julmi,  Block  Chehat",24.5884258,75.988412
20,369,369,34,2015,Rajasthan,Kota,Kota,65,0,18-08-2015 00:00,,Kota,25.2138156,75.8647527
21,1261,1261,37,2016,Rajasthan,Kota,Kota,8,1,09-01-2016 00:00,,"  Railway  colony  Station  Area,  PHC Purohitjiki tapir Kota City",25.2104885,75.8883941
22,556,556,40,2012,Rajasthan,Kota,Kota,0,0,01-10-2012 00:00,,"Kumbhkot,  PHC Julmi,  Block  Chehat",24.5884258,75.988412
23,558,558,40,2012,Rajasthan,Kota,Kota,0,0,03-10-2012 00:00,,"Kumbhkot,  PHC Julmi,  Block  Chehat",24.5884258,75.988412
24,1584,1584,51,2017,Rajasthan,Nagaur,Nagaur,30,0,10-04-2017 00:00,,"  Harijan  Basti  Nagaur,  SC  New Teliwara    Naya    Darwaja,    Block    Teliwara",27.2044722,73.7292568
25,1313,1313,39,2016,Rajasthan,Nagaur,Nagaur,9,0,19-09-2016 00:00,," Peer ki Dargah, Nadi Chouk, Makarana  City",27.0421278,74.7292356
26,557,557,40,2012,Rajasthan,Kota,Kota,0,0,02-10-2012 00:00,," Kumbhkot,  PHC Julmi,  Block  Chehat",24.6259896,76.0014712
27,601,601,41,2015,Rajasthan,Bharatpur,Bharatpur,8,0,05-10-2015 00:00,,"Bamanwas,  SC Salarpur,  Jivad,  Block Gangapur City",26.6037899,76.5585226
28,148,148,19,2014,Rajasthan,Tonk,Tonk,24,0,28-04-2014 00:00,,"Hathona,  Parana",24.8177476,75.8795378
29,559,559,40,2012,Rajasthan,Kota,Kota,0,0,04-10-2012 00:00,," Kumbhkot,  PHC Julmi,  Block  Chehat",24.5884258,75.988412
30,5560,5560,29,2022,Rajasthan,Pratapgarh,Pratapgarh,11,0,16-07-2022,,"Cases reported from Village-Sakthal, SC- Kachotiya, PHC- Suhagpura,  Block-Pipalkhunt,  District  Pratapgarh.  Cases presented with fever and generalized body ache. 23 blood samples were sent for lab analysis to RNT Medical College, Udaipur  and  out  of  them,  11  blood  samples  were  found positive   for   Dengue   by   IgM   ELISA.   District   RRT investigated  the  outbreak.  Survey  of  the  area  was  done. Fogging  and  spraying  was  done.  Breeding  sources  were eliminated.   Local   fever   camp   was   established.   Health education  was  given regarding  the  importance  of  vector control measures.",24.0317,74.7787
